iter	Passed	Remaining
0	3	169
1	6	166
2	10	163
3	14	164
4	17	153
5	20	147
6	23	143
7	26	139
8	29	133
9	31	127
10	34	122
11	37	117
12	40	115
13	44	113
14	48	113
15	51	110
16	54	105
17	57	101
18	59	97
19	62	94
20	66	91
21	69	88
22	80	94
23	84	91
24	86	86
25	91	84
26	94	80
27	99	78
28	102	74
29	105	70
30	107	66
31	110	62
32	113	58
33	115	54
34	118	50
35	121	47
36	123	43
37	126	39
38	129	36
39	131	32
40	134	29
41	136	26
42	139	22
43	142	19
44	144	16
45	147	12
46	150	9
47	152	6
48	155	3
49	158	0
